Player,Team,Pos,Injury,Status,Est. Return
Giannis Antetokounmpo,MIL,F,Knee,Game Time Decision,1/31/2025
Marvin Bagley,WAS,C,Knee,Out,2/1/2025
LaMelo Ball,CHA,G,Ankle,Out,2/7/2025
Saddiq Bey,WAS,F,Knee,Out,2/21/2025
Bogdan Bogdanovic,ATL,G,Personal,Out,2/1/2025
Bojan Bogdanovic,BKN,F,Foot,Game Time Decision,2/1/2025
Malcolm Brogdon,WAS,G,Foot,Out,2/1/2025
Kobe Bufkin,ATL,G,Shoulder,Out For Season,10/1/2025
Jimmy Butler,MIA,F,Suspension,Out,2/7/2025
Vlatko Cancar,DEN,F,Knee,Out,2/20/2025
Clint Capela,ATL,C,Back,Out,2/5/2025
Alex Caruso,OKC,G,Ankle,Game Time Decision,2/1/2025
Cam Christie,LAC,G,Ankle,Out,2/2/2025
Sidy Cissoko,SAS,G,Concussion,Game Time Decision,1/31/2025
Noah Clowney,BKN,F,Ankle,Game Time Decision,2/1/2025
Mike Conley,MIN,G,Thumb,Out,2/1/2025
Torrey Craig,CHI,F,Ankle,Out,2/8/2025
Pacome Dadiet,NYK,F,Toe,Game Time Decision,2/1/2025
Anthony Davis,LAL,C,Abdomen,Out,2/6/2025
Gradey Dick,TOR,F,Illness,Game Time Decision,1/31/2025
Donte DiVincenzo,MIN,G,Toe,Out,2/21/2025
Luka Doncic,DAL,G,Calf,Out,2/4/2025
Andre Drummond,PHI,C,Toe,Out,2/2/2025
Kris Dunn,LAC,G,Knee,Out,2/2/2025
Jesse Edwards,MIN,C,Undisclosed,Out,2/1/2025
Joel Embiid,PHI,C,Knee,Out,2/2/2025
Dante Exum,DAL,G,Wrist,Game Time Decision,1/31/2025
Dorian Finney-Smith,LAL,F,Shoulder,Out,2/1/2025
Paul George,PHI,F,Finger,Out,2/2/2025
Jerami Grant,POR,F,Ankle,Out,2/1/2025
Draymond Green,GSW,C,Calf,Out,2/3/2025
AJ Green,MIL,G,Quadriceps,Game Time Decision,1/31/2025
Josh Green,CHA,F,Foot,Game Time Decision,1/31/2025
Sam Hauser,BOS,F,Hip,Game Time Decision,1/31/2025
Jordan Hawkins,NOP,G,Illness,Game Time Decision,1/31/2025
Taylor Hendricks,UTA,F,Lower Leg,Out For Season,10/1/2025
DaRon Holmes,DEN,C,Achilles,Out For Season,7/1/2025
Chet Holmgren,OKC,C,Hip,Out,2/21/2025
Jalen Hood-Schifino,LAL,G,Hamstring,Out,2/1/2025
Al Horford,BOS,C,Toe,Game Time Decision,1/31/2025
Talen Horton-Tucker,CHI,G,Lower Leg,Game Time Decision,1/31/2025
